Generation,Recommend
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen X,Yes
Gen X,Yes
Gen X,Yes
Gen X,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,No
